Method,Episode,Return,Cost,Cumulative Cost,Epsilon,Competence_Rho
Conservative,1,-0.54,0.0,0.0,0.05,0.0
Conservative,2,0.82,0.0,0.0,0.05,0.05
Conservative,3,-0.82,273.0,273.0,0.05,0.048
Conservative,4,-0.93,0.0,273.0,0.05,0.045
Conservative,5,-0.01,0.0,273.0,0.05,0.043
Conservative,6,-0.6,0.0,273.0,0.05,0.041
Conservative,7,0.7,0.0,273.0,0.05,0.089
Conservative,8,-0.08,0.0,273.0,0.05,0.084
Conservative,9,-0.22,0.0,273.0,0.05,0.08
Conservative,10,-1.4,0.0,273.0,0.05,0.076
Conservative,11,-0.39,0.0,273.0,0.05,0.072
Conservative,12,-0.25,0.0,273.0,0.05,0.069
Conservative,13,-1.94,90.0,363.0,0.05,0.065
Conservative,14,-1.95,0.0,363.0,0.05,0.062
Conservative,15,-0.65,384.0,747.0,0.05,0.059
Conservative,16,-0.17,0.0,747.0,0.05,0.056
Conservative,17,-3.06,0.0,747.0,0.05,0.053
Conservative,18,-0.08,0.0,747.0,0.05,0.05
Conservative,19,-0.26,0.0,747.0,0.05,0.048
Conservative,20,-1.15,0.0,747.0,0.05,0.046
Conservative,21,-0.79,0.0,747.0,0.05,0.043
Conservative,22,-0.31,227.0,974.0,0.05,0.041
Conservative,23,-0.01,0.0,974.0,0.05,0.039
Conservative,24,0.7,567.0,1541.0,0.05,0.037
Conservative,25,-0.16,0.0,1541.0,0.05,0.035
Conservative,26,-0.16,0.0,1541.0,0.05,0.033
Conservative,27,-0.19,0.0,1541.0,0.05,0.032
Conservative,28,-0.42,0.0,1541.0,0.05,0.03
Conservative,29,-0.31,0.0,1541.0,0.05,0.029
Conservative,30,-0.65,0.0,1541.0,0.05,0.027
Conservative,31,1.36,0.0,1541.0,0.05,0.076
Conservative,32,0.38,0.0,1541.0,0.05,0.122
Conservative,33,-0.69,0.0,1541.0,0.05,0.116
Conservative,34,0.06,0.0,1541.0,0.05,0.16
Conservative,35,-0.3,0.0,1541.0,0.05,0.152
Conservative,36,-1.3,0.0,1541.0,0.05,0.145
Conservative,37,-0.32,0.0,1541.0,0.05,0.137
Conservative,38,2.05,60.0,1601.0,0.05,0.13
Conservative,39,-0.72,52.0,1653.0,0.05,0.124
Conservative,40,-1.71,0.0,1653.0,0.05,0.118
Conservative,41,-0.82,0.0,1653.0,0.05,0.112
Conservative,42,0.17,0.0,1653.0,0.05,0.156
Conservative,43,0.02,0.0,1653.0,0.05,0.198
Conservative,44,0.61,49.0,1702.0,0.05,0.189
Conservative,45,0.55,0.0,1702.0,0.05,0.229
Conservative,46,-1.38,0.0,1702.0,0.05,0.218
Conservative,47,-0.18,0.0,1702.0,0.05,0.207
Conservative,48,-1.2,0.0,1702.0,0.05,0.196
Conservative,49,0.49,0.0,1702.0,0.05,0.237
